formula,sites,composition,a_edge (angstrom),b_edge (angstrom),c_edge (angstrom),alpha_ang (deg),beta_ang (deg),gamma_ang (deg),crystal_system,space_group,total_magnetisation (bohr),energy_per_atom (eV/atom),formation_energy (eV/atom),energy_above_hull (eV/atom),density (g/cc),band_gap (eV),direct_bandgap,volume (cubic-angstrom)
CaTlBr3,10,Ca1 Tl1 Br3,7.406002468,7.406002468,10.87564125,90.0,90.0,146.5703633,ortho,Cmcm,0.0,-3.773300504,-1.915718184,0.0,4.892994482,3.7234,False,328.6284841
CaTlCl3,10,Ca1 Tl1 Cl3,4.070888618,7.075985436,10.33872924,90.0,90.0,106.7970545,ortho,Cmcm,0.0,-4.210446287,-2.225909892,0.0,4.086550331,4.2088,False,285.1063936
CaWN3,10,Ca1 W1 N3,3.629991136,5.796946249,7.44986265,105.7650397,104.1007684,90.00000299,mono,C2/m,0.0,-17.9643365,-0.805868477,0.0,6.051179305,0.5612,False,145.9552203
CaZrO3,20,Ca1 Zr1 O3,5.58500572,5.77809678,8.01738023,90.0,90.0,90.0,ortho,Pnma,0.0,-8.749611775,-3.670175069,0.0,4.603084506,3.8263,True,258.7265008
CdBiO3,10,Cd1 Bi1 O3,5.829561946,5.830423031,5.972227016,60.77515692,119.1751925,119.979308,trig,R3,0.0,-5.373882152,-1.435096649,0.0,8.444817808,0.767,False,145.2691758
CdCO3,10,Cd1 C1 O3,6.145127278,6.145126917,6.145126563,47.52436093,47.52436881,47.52435309,trig,R-3c,0.0,-6.761938697,-1.755426957,0.0,4.956502911,2.6226,False,115.5290272
CdNi3N,5,Cd1 Ni3 N1,3.82153146,3.82154162,3.82153349,90.0,90.0,90.0,cubic,Pm-3m,1.1e-05,-13.13645322,-0.100675256,0.0,9.000316019,0.0,False,55.81021594
CdPS3,10,Cd1 P1 S3,6.253369407,6.253369838,7.08480051,98.18604281,98.18605262,119.997975,mono,C2/m,0.0,-11.16902908,-0.526616825,0.0,3.459377514,1.7562,False,230.0018155
CdPSe3,10,Cd1 P1 Se3,7.97359843,7.973598429,7.973597804,48.60264365,48.60264369,48.60264447,trig,R-3,0.0,-3.954065545,-0.581421915,0.0,4.825860987,1.0486,False,261.6919528
CdPbO3,40,Cd1 Pb1 O3,9.085826746,9.085836675,9.085830953,110.5117259,109.8982517,108.0141558,ortho,Ibca,0.0,-5.278432031,-1.375123976,0.0,8.462073206,0.0,False,577.0968158
CdSeO3,20,Cd1 Se1 O3,5.32817807,6.31758539,8.12471485,90.0,90.0,90.0,ortho,Pnma,0.0,-5.274442168,-1.414481231,0.0,5.813522774,3.0904,False,273.4878134
CdSiO3,60,Cd1 Si1 O3,7.28599731,6.992660796,15.10775788,85.123904,90.0,90.0,mono,P2_1/c,0.0,-6.781450763,-2.535608516,0.0,4.897479562,2.8901,False,766.9319925
CdSnO3,10,Cd1 Sn1 O3,5.933372171,5.933372293,5.933373283,55.14847345,55.14848066,55.14848451,trig,R-3,0.0,-5.800440844,-1.837747832,0.0,7.073964607,0.9762,False,131.0406149
CdTeO3,40,Cd1 Te1 O3,11.30735991,7.451632652,7.831885009,66.44744827,90.0,90.0,mono,P2_1/c,0.0,-5.311071547,-1.521631728,0.0,6.32473192,3.019,False,604.9274932
Ce3AlC,5,Ce3 Al1 C1,4.98731642,4.98731967,4.98728285,90.0,90.0,90.0,cubic,Pm-3m,2.5469901,-6.38450763,-0.227489443,0.0,6.148730535,0.0,False,124.0503884
Ce3AlN,5,Ce3 Al1 N1,4.90922468,4.90926019,4.90924297,90.0,90.0,90.0,cubic,Pm-3m,2.5442481,-22.57630806,-0.899761008,0.0,6.474752647,0.0,False,118.316002
Ce3InC,5,Ce3 In1 C1,5.04591409,5.0459467,5.04587929,90.0,90.0,90.0,cubic,Pm-3m,2.5884167,-6.279061686,-0.319323917,0.0,7.07224546,0.0,False,128.4752193
