mp_id,formula,sites,composition,a_edge (angstrom),b_edge (angstrom),c_edge (angstrom),alpha_ang (deg),beta_ang (deg),gamma_ang (deg),crystal_system,space_group,total_magnetisation (bohr),energy_per_atom (eV/atom),formation_energy (eV/atom),energy_above_hull (eV/atom),stable,density (g/cc),band_gap (eV),direct_bandgap,volume (cubic-angstrom),bulk_modulus (GPa),shear_modulus (GPa)
mp-1017578,HfBRh3,5,Hf1 B1 Rh3,4.09526278,4.09526278,4.09526278,90.0,90.0,90.0,cubic,Pm-3m,1e-07,-25.80575055,-0.824459452,0.0,True,12.04060692,0.0,False,68.68237792,223.425,101.826
mp-1017446,HfCdO3,5,Hf1 Cd1 O3,4.098109,4.098109,4.098109,90.0,90.0,90.0,cubic,Pm-3m,0.0032801,-7.822235606,-2.670019159,0.280328005,False,8.1765317,0.0,False,68.82568085,167.615,69.422
mp-1016841,HfHgO3,5,Hf1 Hg1 O3,4.122739,4.122739,4.122739,90.0,90.0,90.0,cubic,Pm-3m,0.0166903,-7.389007276,-2.36685846,0.299051158,False,10.12043026,0.0,False,70.07409939,159.867,52.316
mp-1016825,HfMgO3,5,Hf1 Mg1 O3,4.072456,4.072456,4.072456,90.0,90.0,90.0,cubic,Pm-3m,0.00199,-8.324014238,-3.037705826,0.589504466,False,6.165888288,1.1738,False,67.54126685,168.944,77.756
mp-776083,HfSnO3,10,Hf1 Sn1 O3,7.456477905,7.456477905,7.456477921,42.87209825,42.87209825,42.87209609,trig,R-3,0.0011155,-8.757209739,-2.995080959,0.068686627,False,6.592594464,2.3676,False,173.8966654,15287.792,-17270523248.188
mp-1016819,HfZnO3,5,Hf1 Zn1 O3,4.076656,4.076656,4.076656,90.0,90.0,90.0,cubic,Pm-3m,0.0123883,-7.653380586,-2.441217455,0.687028815,False,7.154294749,0.0,False,67.75045215,162.57,55.645
mp-1017447,HgGeO3,5,Hg1 Ge1 O3,3.82031,3.82031,3.82031,90.0,90.0,90.0,cubic,Pm-3m,0.000284,-5.12807882,-1.172762239,0.375254153,False,9.566805528,0.0,False,55.75654003,172.111,64.611
mp-1016831,HgIrO3,5,Hg1 Ir1 O3,3.966927,3.966927,3.966927,90.0,90.0,90.0,cubic,Pm-3m,0.1733409,-5.407044466,-0.60864662,0.401912078,False,11.72554886,0.0,False,62.4255857,175.489,40.37
mp-1016840,HgOsO3,5,Hg1 Os1 O3,3.954635,3.954635,3.954635,90.0,90.0,90.0,cubic,Pm-3m,0.0022294,-6.127337816,-0.85115332,0.316064325,False,11.78187775,0.0,False,61.84708244,202.882,47.226
mp-1016877,HgRhO3,5,Hg1 Rh1 O3,3.970706,3.970706,3.970706,90.0,90.0,90.0,cubic,Pm-3m,1.3911544,-5.079618962,-0.576046378,0.409349453,False,9.323166634,0.0,False,62.60416052,148.652,39.585
mp-1016851,HgRuO3,5,Hg1 Ru1 O3,3.944331,3.944331,3.944331,90.0,90.0,90.0,cubic,Pm-3m,0.0051393,-5.712738898,-0.82714738,0.301472753,False,9.46177805,0.0,False,61.36490393,178.37,39.007
mp-10279,Ho3GaC,5,Ho3 Ga1 C1,5.274446,5.274446,5.274446,90.0,90.0,90.0,cubic,Pm-3m,7.2e-06,-4.01324139,1.196718592,1.618684529,False,6.52433774,0.0,False,146.7339305,45.194,20.445
mp-10356,Ho3InC,5,Ho3 In1 C1,5.559885,5.559885,5.559885,90.0,90.0,90.0,cubic,Pm-3m,7.15e-05,-3.54337875,1.612796776,1.956069486,False,6.005876709,0.0,False,171.868951,39.666,12.289
mp-7114,Ho3SnC,5,Ho3 Sn1 C1,5.57875,5.57875,5.57875,90.0,90.0,90.0,cubic,Pm-3m,0.0027818,-3.925218212,1.481036937,2.000656815,False,5.982377406,0.0,False,173.6243767,41.472,9.405
mp-3693,HoBPd3,5,Ho1 B1 Pd3,4.312194,4.312194,4.312194,90.0,90.0,90.0,cubic,Pm-3m,8e-07,-22.48554046,-0.663728673,0.112943182,False,10.25086659,0.0,False,80.18532114,145.69,18.834
mp-3710,HoBRh3,5,Ho1 B1 Rh3,4.16588183,4.16588183,4.16588183,90.0,90.0,90.0,cubic,Pm-3m,0.6651276,-7.476134166,-0.802135197,0.0,True,11.12715732,0.0,False,72.29709375,184.167,87.48
mp-982558,HoGeO3,5,Ho1 Ge1 O3,3.904923,3.904923,3.904923,90.0,90.0,90.0,cubic,Pm-3m,0.0006553,-7.165676248,-2.352758181,0.698465031,False,7.963830435,0.0,False,59.54392017,142.29,64.149
mp-973977,HoSnO3,5,Ho1 Sn1 O3,4.351836,4.351836,4.351836,90.0,90.0,90.0,cubic,Pm-3m,0.9619467,-6.82203584,-2.131808973,0.869262274,False,6.681846651,0.0,False,82.41714413,90.383,34.59
mp-975443,InCuO3,5,In1 Cu1 O3,3.787341,3.787341,3.787341,90.0,90.0,90.0,cubic,Pm-3m,0.0027112,-5.246440988,-0.905988302,0.516984141,False,6.919102679,0.0,False,54.32543694,160.872,55.989
mp-9200,K3AuO,5,K3 Au1 O1,5.22438571,5.22438571,5.22438571,90.0,90.0,90.0,cubic,Pm-3m,0.0,-3.202910128,-0.879719693,0.0,True,3.845922409,0.5612,False,142.59546,18.66,11.654
mp-28166,K3BrO,5,K3 Br1 O1,5.19026401,5.19026401,5.19026401,90.0,90.0,90.0,cubic,Pm-3m,0.0,-3.560015648,-1.564212306,0.0,True,2.532004578,0.8913,True,139.8196943,19.399,12.792
mp-28171,K3IO,5,K3 I1 O1,5.29423015,5.29423015,5.29423015,90.0,90.0,90.0,cubic,Pm-3m,0.0,-3.419062858,-1.4458463,0.0,True,2.911695035,1.0284,True,148.3913039,18.587,12.762
mp-973396,KBeO3,5,K1 Be1 O3,3.771574,3.771574,3.771574,90.0,90.0,90.0,cubic,Pm-3m,2.9999698,-5.136239456,-1.193306335,0.635952091,False,2.974704425,0.0,False,53.64977434,92.168,27.945
mp-982040,KBiO3,5,K1 Bi1 O3,4.284204,4.284204,4.284204,90.0,90.0,90.0,cubic,Pm-3m,0.0005425,-5.452773802,-1.479716392,0.092868684,False,6.252348761,0.0,False,78.63401066,86.685,65.445
mp-4950,KCaF3,5,K1 Ca1 F3,4.481726,4.481726,4.481726,90.0,90.0,90.0,cubic,Pm-3m,0.0,-5.471143296,-3.696861995,0.023864284,False,2.511883222,6.1392,False,90.01935658,48.658,25.296
mp-982885,KCaO3,5,K1 Ca1 O3,4.568674,4.568674,4.568674,90.0,90.0,90.0,cubic,Pm-3m,3.0,-5.06711209,-1.470941566,0.439582296,False,2.214515002,0.0,False,95.36093697,40.526,3.548
mp-10175,KCdF3,5,K1 Cd1 F3,4.38208902,4.38208902,4.38208902,90.0,90.0,90.0,cubic,Pm-3m,4e-07,-4.24200609,-2.676842727,0.025577015,False,4.11453691,3.1006,False,84.14795914,55.986,21.121
mp-23022,KClO3,10,K1 Cl1 O3,5.701289,4.751184,7.236104033,70.72898769,90.0,90.0,mono,P2_1/m,0.0003373,-4.713488817,-1.148730937,0.050930347,False,2.199650261,5.4717,False,185.0278073,15.769,7.956
mp-556084,KClO3,20,K1 Cl1 O3,4.736659,5.719557,13.665051,90.0,90.0,90.0,ortho,Pnma,0.0018361,-4.713512315,-1.148754435,0.050906849,False,2.19874499,5.5725,False,370.2079746,15.73,8.247
mp-1023129,KCuCl3,5,K1 Cu1 Cl3,4.79805545,4.79804927,4.79805133,90.0,90.0,90.0,cubic,Pm-3m,0.5088569,-8.324836616,-1.26036129,0.030757297,False,3.142008713,0.0,False,110.45741,38.496,17.3
mp-5566,KCuF3,10,K1 Cu1 F3,5.650595204,5.647021428,5.647021828,90.13977443,119.8984754,119.8984763,cubic,Pm-3m,0.0093765,-4.548677252,-2.355674593,0.002198548,False,4.153368004,0.0,False,127.6494845,68.887,30.35
mp-669347,KCuF3,10,K1 Cu1 F3,5.680055154,5.680679711,5.68068068,92.48404255,118.5797755,118.5797774,tet,I4/mcm,0.000266,-4.5508758,-2.357873141,0.0,True,4.008852462,0.0,False,132.2511341,78.848,33.832
mp-973830,KErO3,5,K1 Er1 O3,4.426509,4.426509,4.426509,90.0,90.0,90.0,cubic,Pm-3m,2.0061636,-6.434016168,-2.325421858,0.255832053,False,4.869744499,0.0,False,86.73293735,65.414,3.327
mp-7483,KHgF3,20,K1 Hg1 F3,6.40393385,6.41619267,9.04877947,90.0,90.0,90.0,cubic,Pm-3m,0.0,-3.63507531,-2.199979577,0.0,True,5.300151194,0.6082,False,371.8041543,50.671,12.972
